Method,mae,rmse,r2
XGBoost,9.42704742642488,23.908954735203192,0.0343280621470001
Random Forest,9.576942687633116,23.764850364613324,0.0459336034370244
LightGBM,10.31,24.5,0.018
Baseline (SR_TYPE),14.502587379630937,25.729537757864925,-0.1183362423994265
